title,subjects,authors,publish-date
Prediction of designer-recombinases for DNA editing with generative deep learning,"['Machine learning', 'Molecular evolution', 'Protein design']","['Lukas Theo Schmitt', 'Maciej Paszkowski-Rogacz', 'Florian Jug', 'Frank Buchholz']",2022-12-27
Deep learning reveals what vocal bursts express in different cultures,"['Emotion', 'Human behaviour']","['Jeffrey A. Brooks', 'Panagiotis Tzirakis', 'Alice Baird', 'Lauren Kim', 'Michael Opara', 'Xia Fang', 'Dacher Keltner', 'Maria Monroy', 'Rebecca Corona', 'Jacob Metrick', 'Alan S. Cowen']",2022-12-28
Physical deep learning with biologically inspired training method: gradient-free approach for physical hardware,"['Applied optics', 'Applied physics', 'Computational science', 'Information technology']","['Mitsumasa Nakajima', 'Katsuma Inoue', 'Kenji Tanaka', 'Yasuo Kuniyoshi', 'Toshikazu Hashimoto', 'Kohei Nakajima']",2022-12-26
Symphonizing pileup and full-alignment for deep learning-based long-read variant calling,"['Genetic variation', 'Sequencing']","['Zhenxian Zheng', 'Shumin Li', 'Junhao Su', 'Amy Wing-Sze Leung', 'Tak-Wah Lam', 'Ruibang Luo']",2022-12-19
Accuracy and data efficiency in deep learning models of protein expression,"['Machine learning', 'Synthetic biology']","['Evangelos-Marios Nikolados', 'Arin Wongprommoon', 'Oisin Mac Aodha', 'Guillaume Cambray', 'Diego A. Oyarzún']",2022-12-15
Deep learning models for predicting RNA degradation via dual crowdsourcing,"['Machine learning', 'RNA']","['Hannah K. Wayment-Steele', 'Wipapat Kladwang', 'Andrew M. Watkins', 'Do Soon Kim', 'Bojan Tunguz', 'Walter Reade', 'Maggie Demkin', 'Jonathan Romano', 'Roger Wellington-Oguri', 'John J. Nicol', 'Jiayang Gao', 'Kazuki Onodera', 'Kazuki Fujikawa', 'Hanfei Mao', 'Gilles Vandewiele', 'Michele Tinti', 'Bram Steenwinckel', 'Takuya Ito', 'Taiga Noumi', 'Shujun He', 'Keiichiro Ishi', 'Youhan Lee', 'Fatih Öztürk', 'King Yuen Chiu', 'Emin Öztürk', 'Karim Amer', 'Mohamed Fares', 'Eterna Participants', 'Rhiju Das']",2022-12-14
A deep-learning model for transforming the style of tissue images from cryosectioned to formalin-fixed and paraffin-embedded,"['Image processing', 'Machine learning', 'Pathology']","['Kutsev Bengisu Ozyoruk', 'Sermet Can', 'Berkan Darbaz', 'Kayhan Başak', 'Derya Demir', 'Guliz Irem Gokceler', 'Gurdeniz Serin', 'Uguray Payam Hacisalihoglu', 'Emirhan Kurtuluş', 'Ming Y. Lu', 'Tiffany Y. Chen', 'Drew F. K. Williamson', 'Funda Yılmaz', 'Faisal Mahmood', 'Mehmet Turan']",2022-12-23
An accurate deep learning model for wheezing in children using real world data,"['Health care', 'Mathematics and computing', 'Medical research']","['Beom Joon Kim', 'Baek Seung Kim', 'Jeong Hyeon Mun', 'Changwon Lim', 'Kyunghoon Kim']",2022-12-28
Deep transfer learning enables lesion tracing of circulating tumor cells,"['Bioinformatics', 'Cancer of unknown primary', 'Machine learning']","['Xiaoxu Guo', 'Fanghe Lin', 'Chuanyou Yi', 'Juan Song', 'Di Sun', 'Li Lin', 'Zhixing Zhong', 'Zhaorun Wu', 'Xiaoyu Wang', 'Yingkun Zhang', 'Jin Li', 'Huimin Zhang', 'Feng Liu', 'Chaoyong Yang', 'Jia Song']",2022-12-12
Prostate cancer malignancy detection and localization from mpMRI using auto-deep learning as one step closer to clinical utilization,"['Biomedical engineering', 'Prostate cancer']","['Weiwei Zong', 'Eric Carver', 'Simeng Zhu', 'Eric Schaff', 'Daniel Chapman', 'Joon Lee', 'Hassan Bagher-Ebadian', 'Benjamin Movsas', 'Winston Wen', 'Tarik Alafif', 'Xiangyun Zong']",2022-12-27
