title,subjects,authors,publish-date
Constructing custom thermodynamics using deep learning,"['Computational science', 'Nonlinear phenomena']","['Xiaoli Chen', 'Beatrice W. Soh', 'Zi-En Ooi', 'Eleonore Vissol-Gaudin', 'Haijun Yu', 'Kostya S. Novoselov', 'Kedar Hippalgaonkar', 'Qianxiao Li']",2023-12-29
Revealing hidden patterns in deep neural network feature space continuum via manifold learning,"['Computational models', 'Computational science', 'Computer science', 'Statistical methods', 'Translational research']","['Md Tauhidul Islam', 'Zixia Zhou', 'Hongyi Ren', 'Masoud Badiei Khuzani', 'Daniel Kapp', 'James Zou', 'Lu Tian', 'Joseph C. Liao', 'Lei Xing']",2023-12-21
Deep learning-based phenotyping reclassifies combined hepatocellular-cholangiocarcinoma,"['Biomedical engineering', 'Liver cancer', 'Machine learning', 'Pathology', 'Tumour heterogeneity']","['Julien Calderaro', 'Narmin Ghaffari Laleh', 'Qinghe Zeng', 'Pascale Maille', 'Loetitia Favre', 'Anaïs Pujals', 'Christophe Klein', 'Céline Bazille', 'Lara R. Heij', 'Arnaud Uguen', 'Tom Luedde', 'Luca Di Tommaso', 'Aurélie Beaufrère', 'Augustin Chatain', 'Delphine Gastineau', 'Cong Trung Nguyen', 'Hiep Nguyen-Canh', 'Khuyen Nguyen Thi', 'Viviane Gnemmi', 'Rondell P. Graham', 'Frédéric Charlotte', 'Dominique Wendum', 'Mukul Vij', 'Daniela S. Allende', 'Federico Aucejo', 'Alba Diaz', 'Benjamin Rivière', 'Astrid Herrero', 'Katja Evert', 'Diego Francesco Calvisi', 'Jérémy Augustin', 'Wei Qiang Leow', 'Howard Ho Wai Leung', 'Emmanuel Boleslawski', 'Mohamed Rela', 'Arnaud François', 'Anthony Wing-Hung Cha', 'Alejandro Forner', 'Maria Reig', 'Manon Allaire', 'Olivier Scatton', 'Denis Chatelain', 'Camille Boulagnon-Rombi', 'Nathalie Sturm', 'Benjamin Menahem', 'Eric Frouin', 'David Tougeron', 'Christophe Tournigand', 'Emmanuelle Kempf', 'Haeryoung Kim', 'Massih Ningarhari', 'Sophie Michalak-Provost', 'Purva Gopal', 'Raffaele Brustia', 'Eric Vibert', 'Kornelius Schulze', 'Darius F. Rüther', 'Sören A. Weidemann', 'Rami Rhaiem', 'Jean-Michel Pawlotsky', 'Xuchen Zhang', 'Alain Luciani', 'Sébastien Mulé', 'Alexis Laurent', 'Giuliana Amaddeo', 'Hélène Regnault', 'Eleonora De Martin', 'Christine Sempoux', 'Pooja Navale', 'Maria Westerhoff', 'Regina Cheuk-Lam Lo', 'Jan Bednarsch', 'Annette Gouw', 'Catherine Guettier', 'Marie Lequoy', 'Kenichi Harada', 'Pimsiri Sripongpun', 'Poowadon Wetwittayaklang', 'Nicolas Loménie', 'Jarukit Tantipisit', 'Apichat Kaewdech', 'Jeanne Shen', 'Valérie Paradis', 'Stefano Caruso', 'Jakob Nikolas Kather']",2023-12-14
Deep learning of cell spatial organizations identifies clinically relevant insights in tissue images,"['Cancer imaging', 'Cancer microenvironment', 'Predictive medicine']","['Shidan Wang', 'Ruichen Rong', 'Qin Zhou', 'Donghan M. Yang', 'Xinyi Zhang', 'Xiaowei Zhan', 'Justin Bishop', 'Zhikai Chi', 'Clare J. Wilhelm', 'Siyuan Zhang', 'Curtis R. Pickering', 'Mark G. Kris', 'John Minna', 'Yang Xie', 'Guanghua Xiao']",2023-12-11
Automating General Movements Assessment with quantitative deep learning to facilitate early screening of cerebral palsy,"['Dystonia', 'Neonatal brain damage', 'Neuromuscular disease']","['Qiang Gao', 'Siqiong Yao', 'Yuan Tian', 'Chuncao Zhang', 'Tingting Zhao', 'Dan Wu', 'Guangjun Yu', 'Hui Lu']",2023-12-14
Discovery of a structural class of antibiotics with explainable deep learning,"['Antibiotics', 'Bacterial systems biology', 'Computational science', 'Drug discovery', 'Networks and systems biology']","['Felix Wong', 'Erica J. Zheng', 'Jacqueline A. Valeri', 'Nina M. Donghia', 'Melis N. Anahtar', 'Satotaka Omori', 'Alicia Li', 'Andres Cubillos-Ruiz', 'Aarti Krishnan', 'Wengong Jin', 'Abigail L. Manson', 'Jens Friedrichs', 'Ralf Helbig', 'Behnoush Hajian', 'Dawid K. Fiejtek', 'Florence F. Wagner', 'Holly H. Soutter', 'Ashlee M. Earl', 'Jonathan M. Stokes', 'Lars D. Renner', 'James J. Collins']",2023-12-20
Automated neuron tracking inside moving and deforming C. elegans using deep learning and targeted augmentation,"['Cellular neuroscience', 'Computational neuroscience', 'Fluorescence imaging', 'Image processing']","['Core Francisco Park', 'Mahsa Barzegar-Keshteli', 'Kseniia Korchagina', 'Ariane Delrocq', 'Vladislav Susoy', 'Corinne L. Jones', 'Aravinthan D. T. Samuel', 'Sahand Jamal Rahi']",2023-12-05
DeepMainmast: integrated protocol of protein structure modeling for cryo-EM with deep learning and structure prediction,"['Cryoelectron microscopy', 'Protein structure predictions', 'Software']","['Genki Terashi', 'Xiao Wang', 'Devashish Prasad', 'Tsukasa Nakamura', 'Daisuke Kihara']",2023-12-08
Label-free identification of protein aggregates using deep learning,"['Biophotonics', 'Intrinsically disordered proteins', 'Phase-contrast microscopy']","['Khalid A. Ibrahim', 'Kristin S. Grußmayer', 'Nathan Riguet', 'Lely Feletti', 'Hilal A. Lashuel', 'Aleksandra Radenovic']",2023-11-28
Scaling deep learning for materials discovery,"['Computer science', 'Scaling laws']","['Amil Merchant', 'Simon Batzner', 'Samuel S. Schoenholz', 'Muratahan Aykol', 'Gowoon Cheon', 'Ekin Dogus Cubuk']",2023-11-29
