title,subjects,authors,publish-date
Reusability report: Unpaired deep-learning approaches for holographic image reconstruction,"['Imaging and sensing', 'Phase-contrast microscopy']","['Yuhe Zhang', 'Tobias Ritschel', 'Pablo Villanueva-Perez']",2024-02-15
Predicting DNA structure using a deep learning method,"['Machine learning', 'Molecular conformation', 'Transcriptional regulatory elements']","['Jinsen Li', 'Tsu-Pei Chiu', 'Remo Rohs']",2024-02-09
Mapping cell-to-tissue graphs across human placenta histology whole slide images using deep learning with HAPPY,"['Image processing', 'Intrauterine growth', 'Machine learning', 'Reproductive biology', 'Software']","['Claudia Vanea', 'Jelisaveta Džigurski', 'Valentina Rukins', 'Omri Dodi', 'Siim Siigur', 'Liis Salumäe', 'Karen Meir', 'W. Tony Parks', 'Drorith Hochner-Celnikier', 'Abigail Fraser', 'Hagit Hochner', 'Triin Laisk', 'Linda M. Ernst', 'Cecilia M. Lindgren', 'Christoffer Nellåker']",2024-03-28
DeepDOF-SE: affordable deep-learning microscopy platform for slide-free histology,"['Biomedical engineering', 'Cancer imaging', 'Image processing']","['Lingbo Jin', 'Yubo Tang', 'Jackson B. Coole', 'Melody T. Tan', 'Xuan Zhao', 'Hawraa Badaoui', 'Jacob T. Robinson', 'Michelle D. Williams', 'Nadarajah Vigneswaran', 'Ann M. Gillenwater', 'Rebecca R. Richards-Kortum', 'Ashok Veeraraghavan']",2024-04-05
Prediction of glycopeptide fragment mass spectra by deep learning,"['Glycobiology', 'Proteome informatics', 'Proteomic analysis', 'Proteomics']","['Yi Yang', 'Qun Fang']",2024-03-19
Overcoming the barrier of orbital-free density functional theory for molecular systems using deep learning,"['Computational science', 'Machine learning']","['He Zhang', 'Siyuan Liu', 'Jiacheng You', 'Chang Liu', 'Shuxin Zheng', 'Ziheng Lu', 'Tong Wang', 'Nanning Zheng', 'Bin Shao']",2024-03-11
Deep learning model for personalized prediction of positive MRSA culture using time-series electronic health records,"['Antimicrobial resistance', 'Clinical microbiology', 'Computational models', 'Diagnosis', 'Epidemiology']","['Masayuki Nigo', 'Laila Rasmy', 'Bingyu Mao', 'Bijun Sai Kannadath', 'Ziqian Xie', 'Degui Zhi']",2024-03-06
Enabling large-scale screening of Barrett’s esophagus using weakly supervised deep learning in histopathology,"['Cancer screening', 'Machine learning', 'Medical imaging', 'Oesophageal cancer']","['Kenza Bouzid', 'Harshita Sharma', 'Sarah Killcoyne', 'Daniel C. Castro', 'Anton Schwaighofer', 'Max Ilse', 'Valentina Salvatelli', 'Ozan Oktay', 'Sumanth Murthy', 'Lucas Bordeaux', 'Luiza Moore', 'Maria O’Donovan', 'Anja Thieme', 'Aditya Nori', 'Marcel Gehrung', 'Javier Alvarez-Valle']",2024-03-11
Global high-resolution total water storage anomalies from self-supervised data assimilation using deep learning algorithms,"['Hydrology', 'Natural hazards']","['Junyang Gou', 'Benedikt Soja']",2024-02-12
Non-orthogonal optical multiplexing empowered by deep learning,"['Optical techniques', 'Optics and photonics']","['Tuqiang Pan', 'Jianwei Ye', 'Haotian Liu', 'Fan Zhang', 'Pengbai Xu', 'Ou Xu', 'Yi Xu', 'Yuwen Qin']",2024-02-21
A deep-learning-based framework for identifying and localizing multiple abnormalities and assessing cardiomegaly in chest X-ray,"['Image processing', 'Machine learning', 'Medical imaging', 'X-ray tomography']","['Weijie Fan', 'Yi Yang', 'Jing Qi', 'Qichuan Zhang', 'Cuiwei Liao', 'Li Wen', 'Shuang Wang', 'Guangxian Wang', 'Yu Xia', 'Qihua Wu', 'Xiaotao Fan', 'Xingcai Chen', 'Mi He', 'JingJing Xiao', 'Liu Yang', 'Yun Liu', 'Jia Chen', 'Bing Wang', 'Lei Zhang', 'Liuqing Yang', 'Hui Gan', 'Shushu Zhang', 'Guofang Liu', 'Xiaodong Ge', 'Yuanqing Cai', 'Gang Zhao', 'Xi Zhang', 'Mingxun Xie', 'Huilin Xu', 'Yi Zhang', 'Jiao Chen', 'Jun Li', 'Shuang Han', 'Ke Mu', 'Shilin Xiao', 'Tingwei Xiong', 'Yongjian Nian', 'Dong Zhang']",2024-02-14
Rapid deep learning-assisted predictive diagnostics for point-of-care testing,"['Assay systems', 'Diagnosis', 'Infectious-disease diagnostics', 'Machine learning']","['Seungmin Lee', 'Jeong Soo Park', 'Hyowon Woo', 'Yong Kyoung Yoo', 'Dongho Lee', 'Seok Chung', 'Dae Sung Yoon', 'Ki-\u200aBaek Lee', 'Jeong Hoon Lee']",2024-02-24
Deep learning predictions of TCR-epitope interactions reveal epitope-specific chains in dual alpha T cells,"['Gene regulation in immune cells', 'Lymphocyte activation', 'Machine learning', 'T-cell receptor', 'Viral infection']","['Giancarlo Croce', 'Sara Bobisse', 'Dana Léa Moreno', 'Julien Schmidt', 'Philippe Guillame', 'Alexandre Harari', 'David Gfeller']",2024-04-13
scPROTEIN: a versatile deep graph contrastive learning framework for single-cell proteomics embedding,"['Machine learning', 'Proteome informatics', 'Software']","['Wei Li', 'Fan Yang', 'Fang Wang', 'Yu Rong', 'Linjing Liu', 'Bingzhe Wu', 'Han Zhang', 'Jianhua Yao']",2024-03-19
Riboformer: a deep learning framework for predicting context-dependent translation dynamics,"['Computational biology and bioinformatics', 'Machine learning', 'Sequencing', 'Standards']","['Bin Shao', 'Jiawei Yan', 'Jing Zhang', 'Lili Liu', 'Ye Chen', 'Allen R. Buskirk']",2024-03-05
Spatial landmark detection and tissue registration with deep learning,"['Data integration', 'Machine learning', 'Transcriptomics']","['Markus Ekvall', 'Ludvig Bergenstråhle', 'Alma Andersson', 'Paulo Czarnewski', 'Johannes Olegård', 'Lukas Käll', 'Joakim Lundeberg']",2024-03-04
Prediction of tumor origin in cancers of unknown primary origin with cytology-based deep learning,"['Cancer of unknown primary', 'Cancer screening', 'Metastasis']","['Fei Tian', 'Dong Liu', 'Na Wei', 'Qianqian Fu', 'Lin Sun', 'Wei Liu', 'Xiaolong Sui', 'Kathryn Tian', 'Genevieve Nemeth', 'Jingyu Feng', 'Jingjing Xu', 'Lin Xiao', 'Junya Han', 'Jingjie Fu', 'Yinhua Shi', 'Yichen Yang', 'Jia Liu', 'Chunhong Hu', 'Bin Feng', 'Yan Sun', 'Yunjun Wang', 'Guohua Yu', 'Dalu Kong', 'Meiyun Wang', 'Wencai Li', 'Kexin Chen', 'Xiangchun Li']",2024-04-16
Congenital heart disease detection by pediatric electrocardiogram based deep learning integrated with human concepts,"['Biomarkers', 'Computational models', 'Congenital heart defects', 'Electrodiagnosis']","['Jintai Chen', 'Shuai Huang', 'Ying Zhang', 'Qing Chang', 'Yixiao Zhang', 'Dantong Li', 'Jia Qiu', 'Lianting Hu', 'Xiaoting Peng', 'Yunmei Du', 'Yunfei Gao', 'Danny Z. Chen', 'Abdelouahab Bellou', 'Jian Wu', 'Huiying Liang']",2024-02-01
Regression-based Deep-Learning predicts molecular biomarkers from pathology slides,"['Cancer imaging', 'Image processing', 'Machine learning', 'Prognostic markers', 'Tumour biomarkers']","['Omar S. M. El Nahhas', 'Chiara M. L. Loeffler', 'Zunamys I. Carrero', 'Marko van Treeck', 'Fiona R. Kolbinger', 'Katherine J. Hewitt', 'Hannah S. Muti', 'Mara Graziani', 'Qinghe Zeng', 'Julien Calderaro', 'Nadina Ortiz-Brüchle', 'Tanwei Yuan', 'Michael Hoffmeister', 'Hermann Brenner', 'Alexander Brobeil', 'Jorge S. Reis-Filho', 'Jakob Nikolas Kather']",2024-02-10
Cross-layer transmission realized by light-emitting memristor for constructing ultra-deep neural network with transfer learning ability,"['Electrical and electronic engineering', 'Optoelectronic devices and components']","['Zhenjia Chen', 'Zhenyuan Lin', 'Ji Yang', 'Cong Chen', 'Di Liu', 'Liuting Shan', 'Yuanyuan Hu', 'Tailiang Guo', 'Huipeng Chen']",2024-03-02
Deep learning-driven fragment ion series classification enables highly precise and sensitive de novo peptide sequencing,"['Machine learning', 'Mass spectrometry', 'Proteome informatics']","['Daniela Klaproth-Andrade', 'Johannes Hingerl', 'Yanik Bruns', 'Nicholas H. Smith', 'Jakob Träuble', 'Mathias Wilhelm', 'Julien Gagneur']",2024-01-02
DeepETPicker: Fast and accurate 3D particle picking for cryo-electron tomography using weakly supervised deep learning,"['Biotechnology', 'Computational models', 'Cryoelectron tomography', 'Image processing', 'Machine learning']","['Guole Liu', 'Tongxin Niu', 'Mengxuan Qiu', 'Yun Zhu', 'Fei Sun', 'Ge Yang']",2024-03-07
Context-aware deep learning enables high-efficacy localization of high concentration microbubbles for super-resolution ultrasound localization microscopy,"['Biomedical engineering', 'Computational models', 'Machine learning', 'Nanobiotechnology', 'Ultrasound']","['YiRang Shin', 'Matthew R. Lowerison', 'Yike Wang', 'Xi Chen', 'Qi You', 'Zhijie Dong', 'Mark A. Anastasio', 'Pengfei Song']",2024-04-04
Inversion dynamics of class manifolds in deep learning reveals tradeoffs underlying generalization,"['Computer science', 'Information theory and computation']","['Simone Ciceri', 'Lorenzo Cassani', 'Matteo Osella', 'Pietro Rotondo', 'Filippo Valle', 'Marco Gherardi']",2024-01-08
A deep learning system for predicting time to progression of diabetic retinopathy,"['Diabetes complications', 'Machine learning', 'Predictive markers']","['Ling Dai', 'Bin Sheng', 'Tingli Chen', 'Qiang Wu', 'Ruhan Liu', 'Chun Cai', 'Liang Wu', 'Dawei Yang', 'Haslina Hamzah', 'Yuexing Liu', 'Xiangning Wang', 'Zhouyu Guan', 'Shujie Yu', 'Tingyao Li', 'Ziqi Tang', 'Anran Ran', 'Haoxuan Che', 'Hao Chen', 'Yingfeng Zheng', 'Jia Shu', 'Shan Huang', 'Chan Wu', 'Shiqun Lin', 'Dan Liu', 'Jiajia Li', 'Zheyuan Wang', 'Ziyao Meng', 'Jie Shen', 'Xuhong Hou', 'Chenxin Deng', 'Lei Ruan', 'Feng Lu', 'Miaoli Chee', 'Ten Cheer Quek', 'Ramyaa Srinivasan', 'Rajiv Raman', 'Xiaodong Sun', 'Ya Xing Wang', 'Jiarui Wu', 'Hai Jin', 'Rongping Dai', 'Dinggang Shen', 'Xiaokang Yang', 'Minyi Guo', 'Cuntai Zhang', 'Carol Y. Cheung', 'Gavin Siew Wei Tan', 'Yih-Chung Tham', 'Ching-Yu Cheng', 'Huating Li', 'Tien Yin Wong', 'Weiping Jia']",2024-01-04
Improving deep learning protein monomer and complex structure prediction using DeepMSA2 with huge metagenomics data,"['Computational models', 'Machine learning', 'Protein structure predictions']","['Wei Zheng', 'Qiqige Wuyun', 'Yang Li', 'Chengxin Zhang', 'P. Lydia Freddolino', 'Yang Zhang']",2024-01-02
A neural speech decoding framework leveraging deep learning and speech synthesis,"['Cortex', 'Neural decoding']","['Xupeng Chen', 'Ran Wang', 'Amirhossein Khalilian-Gourtani', 'Leyao Yu', 'Patricia Dugan', 'Daniel Friedman', 'Werner Doyle', 'Orrin Devinsky', 'Yao Wang', 'Adeen Flinker']",2024-04-08
Drug target prediction through deep learning functional representation of gene signatures,"['Machine learning', 'Target identification']","['Hao Chen', 'Frederick J. King', 'Bin Zhou', 'Yu Wang', 'Carter J. Canedy', 'Joel Hayashi', 'Yang Zhong', 'Max W. Chang', 'Lars Pache', 'Julian L. Wong', 'Yong Jia', 'John Joslin', 'Tao Jiang', 'Christopher Benner', 'Sumit K. Chanda', 'Yingyao Zhou']",2024-02-29
A deep learning model of tumor cell architecture elucidates response and resistance to CDK4/6 inhibitors,"['Breast cancer', 'Cancer therapeutic resistance', 'Machine learning', 'Systems biology']","['Sungjoon Park', 'Erica Silva', 'Akshat Singhal', 'Marcus R. Kelly', 'Kate Licon', 'Isabella Panagiotou', 'Catalina Fogg', 'Samson Fong', 'John J. Y. Lee', 'Xiaoyu Zhao', 'Robin Bachelder', 'Barbara A. Parker', 'Kay T. Yeung', 'Trey Ideker']",2024-03-05
Deep learning-aided decision support for diagnosis of skin disease across skin tones,"['Diagnosis', 'Diseases', 'Medical imaging', 'Skin manifestations']","['Matthew Groh', 'Omar Badri', 'Roxana Daneshjou', 'Arash Koochek', 'Caleb Harris', 'Luis R. Soenksen', 'P. Murali Doraiswamy', 'Rosalind Picard']",2024-02-05
Design of target specific peptide inhibitors using generative deep learning and molecular dynamics simulations,"['Computational chemistry', 'Drug discovery and development', 'Machine learning', 'Protein design', 'Virtual drug screening']","['Sijie Chen', 'Tong Lin', 'Ruchira Basu', 'Jeremy Ritchey', 'Shen Wang', 'Yichuan Luo', 'Xingcan Li', 'Dehua Pei', 'Levent Burak Kara', 'Xiaolin Cheng']",2024-02-21
Avoiding fusion plasma tearing instability with deep reinforcement learning,"['Computational science', 'Information theory and computation', 'Magnetically confined plasmas', 'Mechanical engineering', 'Nuclear fusion and fission']","['Jaemin Seo', 'SangKyeun Kim', 'Azarakhsh Jalalvand', 'Rory Conlin', 'Andrew Rothstein', 'Joseph Abbate', 'Keith Erickson', 'Josiah Wai', 'Ricardo Shousha', 'Egemen Kolemen']",2024-02-21
A signal processing and deep learning framework for methylation detection using Oxford Nanopore sequencing,"['Computational models', 'Machine learning']","['Mian Umair Ahsan', 'Anagha Gouru', 'Joe Chan', 'Wanding Zhou', 'Kai Wang']",2024-02-16
Multiscale biochemical mapping of the brain through deep-learning-enhanced high-throughput mass spectrometry,"['Data integration', 'Lipids', 'Machine learning', 'Mass spectrometry', 'Metabolomics']","['Yuxuan Richard Xie', 'Daniel C. Castro', 'Stanislav S. Rubakhin', 'Timothy J. Trinklein', 'Jonathan V. Sweedler', 'Fan Lam']",2024-02-16
Single-cell spatial multi-omics and deep learning dissect enhancer-driven gene regulatory networks in liver zonation,"['Gene regulation', 'Gene regulatory networks']","['Carmen Bravo González-Blas', 'Irina Matetovici', 'Hanne Hillen', 'Ibrahim Ihsan Taskiran', 'Roel Vandepoel', 'Valerie Christiaens', 'Leticia Sansores-García', 'Elisabeth Verboven', 'Gert Hulselmans', 'Suresh Poovathingal', 'Jonas Demeulemeester', 'Nikoleta Psatha', 'David Mauduit', 'Georg Halder', 'Stein Aerts']",2024-01-05
Using deep learning to quantify neuronal activation from single-cell and spatial transcriptomic data,"['Learning and memory', 'Synaptic plasticity', 'Transcriptomics']","['Ethan Bahl', 'Snehajyoti Chatterjee', 'Utsav Mukherjee', 'Muhammad Elsadany', 'Yann Vanrobaeys', 'Li-Chun Lin', 'Miriam McDonough', 'Jon Resch', 'K. Peter Giese', 'Ted Abel', 'Jacob J. Michaelson']",2024-01-26
Content-aware frame interpolation (CAFI): deep learning-based temporal super-resolution for fast bioimaging,"['Imaging', 'Machine learning', 'Software']","['Martin Priessner', 'David C. A. Gaboriau', 'Arlo Sheridan', 'Tchern Lenn', 'Carlos Garzon-Coral', 'Alexander R. Dunn', 'Jonathan R. Chubb', 'Aidan M. Tousley', 'Robbie G. Majzner', 'Uri Manor', 'Ramon Vilar', 'Romain F. Laine']",2024-01-18
Deep learning assists in acute leukemia detection and cell classification via flow cytometry using the acute leukemia orientation tube,"['Computational biology and bioinformatics', 'Computational models', 'Haematological cancer', 'Machine learning']","['Fu-Ming Cheng', 'Shih-Chang Lo', 'Ching-Chan Lin', 'Wen-Jyi Lo', 'Shang-Yu Chien', 'Ting-Hsuan Sun', 'Kai-Cheng Hsu']",2024-04-09
Early gastric cancer detection and lesion segmentation based on deep learning and gastroscopic images,"['Biomedical engineering', 'Gastric cancer', 'Oesophagogastroscopy', 'Deep learning', 'Early gastric cancer', 'Gastroscopic images', 'Mask R-CNN']","['Kezhi Zhang', 'Haibao Wang', 'Yaru Cheng', 'Hongyan Liu', 'Qi Gong', 'Qian Zeng', 'Tao Zhang', 'Guoqiang Wei', 'Zhi Wei', 'Dong Chen']",2024-04-03
Deep learning-based forecasting of electricity consumption,"['Energy science and technology', 'Engineering', 'BEMS', 'LSTM', 'Electricity demand forecasting', 'Anomaly detection', 'Energy consumption', 'Future forecasting', 'Model optimizer']","['Momina Qureshi', 'Masood Ahmad Arbab', 'Sadaqat ur Rehman']",2024-03-18
"A publicly available deep learning model and dataset for segmentation of breast, fibroglandular tissue, and vessels in breast MRI","['Breast cancer', 'Data publication and archiving', 'Predictive medicine', 'Risk factors']","['Christopher O. Lew', 'Majid Harouni', 'Ella R. Kirksey', 'Elianne J. Kang', 'Haoyu Dong', 'Hanxue Gu', 'Lars J. Grimm', 'Ruth Walsh', 'Dorothy A. Lowell', 'Maciej A. Mazurowski']",2024-03-05
Investigation of deep learning model for predicting immune checkpoint inhibitor treatment efficacy on contrast-enhanced computed tomography images of hepatocellular carcinoma,"['Cancer', 'Computational biology and bioinformatics', 'Gastroenterology', 'AI', 'HCC', 'YOLO', 'CNN', 'CAMs']","['Yasuhiko Nakao', 'Takahito Nishihara', 'Ryu Sasaki', 'Masanori Fukushima', 'Satoshi Miuma', 'Hisamitsu Miyaaki', 'Yuko Akazawa', 'Kazuhiko Nakao']",2024-03-19
Deep learning-based diffusion tensor image generation model: a proof-of-concept study,"['Brain', 'Neurological disorders']","['Hiroyuki Tatekawa', 'Daiju Ueda', 'Hirotaka Takita', 'Toshimasa Matsumoto', 'Shannon L. Walston', 'Yasuhito Mitsuyama', 'Daisuke Horiuchi', 'Shu Matsushita', 'Tatsushi Oura', 'Yuichiro Tomita', 'Taro Tsukamoto', 'Taro Shimono', 'Yukio Miki']",2024-02-05
Development of a deep learning model that predicts critical events of pediatric patients admitted to general wards,"['Medical research', 'Risk factors']","['Yonghyuk Jeon', 'You Sun Kim', 'Wonjin Jang', 'June Dong Park', 'Bongjin Lee']",2024-02-27
