title,subjects,authors,publish-date
Lunar impact crater identification and age estimation with Chang’E data by deep and transfer learning,"['Geomorphology', 'Meteoritics']","['Chen Yang', 'Haishi Zhao', 'Lorenzo Bruzzone', 'Jon Atli Benediktsson', 'Yanchun Liang', 'Bin Liu', 'Xingguo Zeng', 'Renchu Guan', 'Chunlai Li', 'Ziyuan Ouyang']",2020-12-22
Deep learning-based cross-classifications reveal conserved spatial behaviors within tumor histological images,"['Cancer', 'Cancer genomics', 'Computational biology and bioinformatics', 'Data mining', 'Tumour heterogeneity']","['Javad Noorbakhsh', 'Saman Farahmand', 'Ali Foroughi pour', 'Sandeep Namburi', 'Dennis Caruana', 'David Rimm', 'Mohammad Soltanieh-ha', 'Kourosh Zarringhalam', 'Jeffrey H. Chuang']",2020-12-11
Meta-neural-network for real-time and passive deep-learning-based object recognition,"['Acoustics', 'Computational science']","['Jingkai Weng', 'Yujiang Ding', 'Chengbo Hu', 'Xue-Feng Zhu', 'Bin Liang', 'Jing Yang', 'Jianchun Cheng']",2020-12-09
nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,"['Image processing', 'Translational research']","['Fabian Isensee', 'Paul F. Jaeger', 'Simon A. A. Kohl', 'Jens Petersen', 'Klaus H. Maier-Hein']",2020-12-07
Establishment of a morphological atlas of the Caenorhabditis elegans embryo using deep-learning-based 4D segmentation,"['Embryogenesis', 'Image processing', 'Morphogenesis']","['Jianfeng Cao', 'Guoye Guan', 'Vincy Wing Sze Ho', 'Ming-Kin Wong', 'Lu-Yan Chan', 'Chao Tang', 'Zhongying Zhao', 'Hong Yan']",2020-12-07
A deep learning diagnostic platform for diffuse large B-cell lymphoma with high accuracy across multiple hospitals,"['Cancer imaging', 'Lymphoma', 'Machine learning']","['Dongguang Li', 'Jacob R. Bledsoe', 'Yu Zeng', 'Wei Liu', 'Yiguo Hu', 'Ke Bi', 'Aibin Liang', 'Shaoguang Li']",2020-11-26
Training confounder-free deep learning models for medical applications,"['Biomedical engineering', 'Computational neuroscience', 'Computer science', 'Machine learning']","['Qingyu Zhao', 'Ehsan Adeli', 'Kilian M. Pohl']",2020-11-26
Predicting materials properties without crystal structure: deep representation learning from stoichiometry,"['Computational methods', 'Materials science', 'Structure prediction']","['Rhys E. A. Goodall', 'Alpha A. Lee']",2020-12-08
A clinically applicable deep-learning model for detecting intracranial aneurysm in computed tomography angiography images,"['Machine learning', 'Neurovascular disorders', 'Translational research']","['Zhao Shi', 'Chongchang Miao', 'U. Joseph Schoepf', 'Rock H. Savage', 'Danielle M. Dargis', 'Chengwei Pan', 'Xue Chai', 'Xiu Li Li', 'Shuang Xia', 'Xin Zhang', 'Yan Gu', 'Yonggang Zhang', 'Bin Hu', 'Wenda Xu', 'Changsheng Zhou', 'Song Luo', 'Hao Wang', 'Li Mao', 'Kongming Liang', 'Lili Wen', 'Longjiang Zhou', 'Yizhou Yu', 'Guang Ming Lu', 'Long Jiang Zhang']",2020-11-30
Deep learning suggests that gene expression is encoded in all parts of a co-evolving interacting gene regulatory structure,"['Gene regulatory networks', 'Machine learning', 'Synthetic biology']","['Jan Zrimec', 'Christoph S. Börlin', 'Filip Buric', 'Azam Sheikh Muhammad', 'Rhongzen Chen', 'Verena Siewers', 'Vilhelm Verendel', 'Jens Nielsen', 'Mats Töpel', 'Aleksej Zelezniak']",2020-12-01
